Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
USERS_TR_UPDATEUSER - 50,1,1768,1768,1768,0.00,0.000%,.56561,0.48,0.41,866.0
USERS_TR_ADDUSER - 79,1,1926,1926,1926,0.00,0.000%,.51760,0.64,0.18,1270.0
USERS_TR_ADDUSER - 95,1,1932,1932,1932,0.00,0.000%,.51733,0.64,0.18,1270.0
USERS_TR_ADDUSER - 97,1,1926,1926,1926,0.00,0.000%,.51760,0.64,0.18,1270.0
USERS_TR_ADDUSER - 96,1,1767,1767,1767,0.00,0.000%,.56561,0.70,0.28,1270.0
USERS_TR_ADDUSER - 78,1,1767,1767,1767,0.00,0.000%,.56561,0.70,0.19,1270.0
USERS_TR_ADDUSER - 82,1,1931,1931,1931,0.00,0.000%,.51733,0.64,0.18,1270.0
USERS_TR_ADDUSER - 80,1,2014,2014,2014,0.00,0.000%,.49603,0.62,0.17,1270.0
USERS_TR_ADDUSER - 83,1,1934,1934,1934,0.00,0.000%,.51706,0.64,0.18,1270.0
USERS_TR_UPDATEUSER - 43,1,1771,1771,1771,0.00,0.000%,.56433,0.48,0.41,866.0
USERS_TR_UPDATEUSER - 56,1,1772,1772,1772,0.00,0.000%,.56433,0.48,0.41,866.0
USERS_TR_UPDATEUSER - 23,1,1772,1772,1772,0.00,0.000%,.56402,0.48,0.41,867.0
USERS_TR_UPDATEUSER - 57,1,1772,1772,1772,0.00,0.000%,.56433,0.48,0.41,866.0
USERS_TR_ADDUSER - 90,1,1930,1930,1930,0.00,0.000%,.51653,0.64,0.18,1270.0
USERS_TR_GETUSERPROFILE - 86,1,1145,1145,1145,0.00,0.000%,.87260,0.73,0.43,862.0
USERS_TR_GETUSERPROFILE - 63,1,923,923,923,0.00,0.000%,1.08225,0.91,0.53,861.0
USERS_TR_LOGINUSER - 38,1,1226,1226,1226,0.00,0.000%,.80841,0.99,0.36,1260.0
USERS_TR_UPDATEUSER - 27,1,1225,1225,1225,0.00,0.000%,.81633,0.69,0.59,863.0
USERS_TR_DELETEUSER - 2,1,1525,1525,1525,0.00,0.000%,.65488,0.42,0.41,655.0
USERS_TR_LOGINUSER - 8,1,1223,1223,1223,0.00,0.000%,.80257,0.99,0.36,1259.0
USERS_TR_LOGINUSER - 22,1,1221,1221,1221,0.00,0.000%,.80645,0.99,0.36,1260.0
USERS_TR_GETUSERPROFILE - 74,1,1019,1019,1019,0.00,0.000%,.98135,0.83,0.48,861.0
USERS_TR_LOGINUSER - 28,1,1360,1360,1360,0.00,0.000%,.72516,0.89,0.32,1259.0
USERS_TR_UPDATEUSER - 48,1,1370,1370,1370,0.00,0.000%,.72993,0.61,0.53,861.0
USERS_TR_UPDATEUSER - 46,1,1364,1364,1364,0.00,0.000%,.73260,0.62,0.53,863.0
USERS_TR_UPDATEUSER - 53,1,1376,1376,1376,0.00,0.000%,.72622,0.61,0.53,863.0
USERS_TR_UPDATEUSER - 42,1,1369,1369,1369,0.00,0.000%,.73046,0.62,0.53,863.0
USERS_TR_GETUSERPROFILE - 72,1,1073,1073,1073,0.00,0.000%,.93023,0.78,0.46,861.0
USERS_TR_GETUSERPROFILE - 73,1,1216,1216,1216,0.00,0.000%,.82169,0.69,0.41,861.0
USERS_TR_GETUSERPROFILE - 62,1,1375,1375,1375,0.00,0.000%,.72727,0.61,0.36,861.0
USERS_TR_GETUSERPROFILE - 66,1,1378,1378,1378,0.00,0.000%,.72569,0.61,0.36,862.0
USERS_TR_GETUSERPROFILE - 88,1,1436,1436,1436,0.00,0.000%,.69638,0.59,0.34,861.0
USERS_TR_GETUSERPROFILE - 84,1,1349,1349,1349,0.00,0.000%,.74129,0.62,0.37,862.0
USERS_TR_LOGOUTUSER - 13,1,1362,1362,1362,0.00,0.000%,.59701,0.38,0.35,655.0
USERS_TR_LOGINUSER - 18,1,2056,2056,2056,0.00,100.000%,.48497,0.31,0.22,665.0
USERS_TR_ADDUSER - 92,1,1966,1966,1966,0.00,0.000%,.50865,0.63,0.17,1266.0
USERS_TR_UPDATEUSER - 60,1,1946,1946,1946,0.00,0.000%,.51335,0.43,0.37,863.0
USERS_TR_UPDATEUSER - 61,1,1901,1901,1901,0.00,0.000%,.52604,0.44,0.38,862.0
USERS_TR_LOGOUTUSER - 6,1,1673,1673,1673,0.00,0.000%,.50480,0.32,0.29,655.0
USERS_TR_UPDATEUSER - 52,1,1947,1947,1947,0.00,0.000%,.51361,0.43,0.37,862.0
USERS_TR_UPDATEUSER - 69,1,1897,1897,1897,0.00,0.000%,.52715,0.44,0.38,863.0
USERS_TR_LOGINUSER - 11,1,1955,1955,1955,0.00,0.000%,.50378,0.62,0.22,1258.0
USERS_TR_GETUSERPROFILE - 81,1,1059,1059,1059,0.00,0.000%,.94429,0.80,0.47,865.0
USERS_TR_GETUSERPROFILE - 89,1,1061,1061,1061,0.00,0.000%,.94251,0.80,0.46,865.0
USERS_TR_GETUSERPROFILE - 91,1,1059,1059,1059,0.00,0.000%,.94429,0.80,0.47,866.0
USERS_TR_LOGINUSER - 24,1,1968,1968,1968,0.00,0.000%,.50378,0.62,0.22,1259.0
USERS_TR_LOGINUSER - 10,1,2054,2054,2054,0.00,0.000%,.48614,0.60,0.22,1258.0
USERS_TR_LOGINUSER - 9,1,1973,1973,1973,0.00,100.000%,.50480,0.33,0.23,665.0
USERS_TR_UPDATEUSER - 55,1,1973,1973,1973,0.00,0.000%,.50684,0.43,0.37,862.0
USERS_TR_UPDATEUSER - 47,1,1977,1977,1977,0.00,0.000%,.50582,0.43,0.37,863.0
USERS_TR_LOGINUSER - 34,1,2053,2053,2053,0.00,0.000%,.48520,0.60,0.22,1260.0
USERS_TR_UPDATEUSER - 36,1,1974,1974,1974,0.00,0.000%,.50659,0.43,0.37,863.0
USERS_TR_LOGINUSER - 29,1,1953,1953,1953,0.00,0.000%,.50505,0.62,0.22,1258.0
USERS_TR_LOGINUSER - 7,1,1959,1959,1959,0.00,0.000%,.50480,0.62,0.22,1258.0
USERS_TR_LOGINUSER - 16,1,2052,2052,2052,0.00,0.000%,.48544,0.60,0.22,1260.0
USERS_TR_UPDATEUSER - 54,1,1951,1951,1951,0.00,0.000%,.51230,0.43,0.37,863.0
USERS_TR_LOGINUSER - 12,1,1975,1975,1975,0.00,100.000%,.50327,0.33,0.22,665.0
USERS_TR_LOGINUSER - 14,1,1961,1961,1961,0.00,0.000%,.50226,0.62,0.22,1259.0
USERS_TR_UPDATEUSER - 44,1,1977,1977,1977,0.00,0.000%,.50582,0.43,0.37,862.0
USERS_TR_LOGINUSER - 40,1,1682,1682,1682,0.00,100.000%,.59347,0.39,0.26,665.0
USERS_TR_GETUSERPROFILE - 95,1,928,928,928,0.00,0.000%,1.07759,0.91,0.53,866.0
USERS_TR_GETUSERPROFILE - 98,1,1060,1060,1060,0.00,0.000%,.94251,0.80,0.46,864.0
USERS_TR_UPDATEUSER - 30,1,1975,1975,1975,0.00,0.000%,.50633,0.43,0.37,863.0
USERS_TR_LOGINUSER - 37,1,1979,1979,1979,0.00,0.000%,.50327,0.62,0.22,1260.0
USERS_TR_LOGINUSER - 35,1,1968,1968,1968,0.00,0.000%,.50226,0.62,0.22,1258.0
USERS_TR_UPDATEUSER - 45,1,1981,1981,1981,0.00,0.000%,.50480,0.42,0.36,862.0
USERS_TR_UPDATEUSER - 21,1,1979,1979,1979,0.00,0.000%,.50531,0.43,0.37,863.0
USERS_TR_GETUSERPROFILE - 77,1,1061,1061,1061,0.00,0.000%,.93985,0.79,0.46,866.0
USERS_TR_GETUSERPROFILE - 76,1,1051,1051,1051,0.00,0.000%,.94787,0.80,0.47,866.0
USERS_TR_GETUSERPROFILE - 68,1,1051,1051,1051,0.00,0.000%,.94787,0.80,0.47,865.0
USERS_TR_LOGINUSER - 33,1,1975,1975,1975,0.00,0.000%,.50327,0.62,0.22,1259.0
USERS_TR_GETUSERPROFILE - 83,1,924,924,924,0.00,0.000%,1.08108,0.91,0.53,866.0
USERS_TR_GETUSERPROFILE - 67,1,1069,1069,1069,0.00,0.000%,.93545,0.79,0.46,864.0
USERS_TR_GETUSERPROFILE - 59,1,1062,1062,1062,0.00,0.000%,.94162,0.80,0.46,866.0
USERS_TR_GETUSERPROFILE - 78,1,932,932,932,0.00,0.000%,1.07296,0.91,0.53,866.0
USERS_TR_GETUSERPROFILE - 79,1,930,930,930,0.00,0.000%,1.07296,0.91,0.53,866.0
USERS_TR_LOGOUTUSER - 1,1,1692,1692,1692,0.00,0.000%,.50000,0.32,0.29,655.0
USERS_TR_GETUSERPROFILE - 99,1,1082,1082,1082,0.00,0.000%,.92336,0.78,0.46,866.0
USERS_TR_LOGINUSER - 15,1,1984,1984,1984,0.00,0.000%,.49900,0.61,0.22,1258.0
USERS_TR_GETUSERPROFILE - 94,1,1074,1074,1074,0.00,0.000%,.93110,0.79,0.46,865.0
USERS_TR_LOGINUSER - 19,1,1981,1981,1981,0.00,100.000%,.49900,0.32,0.22,665.0
USERS_TR_LOGINUSER - 17,1,1976,1976,1976,0.00,100.000%,.50000,0.32,0.22,665.0
USERS_TR_GETUSERPROFILE - 87,1,1073,1073,1073,0.00,0.000%,.93197,0.79,0.46,865.0
USERS_TR_LOGINUSER - 20,1,1983,1983,1983,0.00,100.000%,.49850,0.32,0.22,665.0
USERS_TR_LOGINUSER - 25,1,1982,1982,1982,0.00,0.000%,.49727,0.61,0.22,1259.0
USERS_TR_GETUSERPROFILE - 100,1,1074,1074,1074,0.00,0.000%,.93110,0.79,0.46,865.0
USERS_TR_UPDATEUSER - 70,1,2027,2027,2027,0.00,0.000%,.49310,0.42,0.36,862.0
USERS_TR_UPDATEUSER - 58,1,2027,2027,2027,0.00,0.000%,.49310,0.42,0.36,862.0
USERS_TR_UPDATEUSER - 49,1,2031,2031,2031,0.00,0.000%,.49237,0.41,0.36,863.0
USERS_TR_GETUSERPROFILE - 64,1,1139,1139,1139,0.00,0.000%,.87796,0.74,0.43,866.0
USERS_TR_UPDATEUSER - 51,1,2038,2038,2038,0.00,0.000%,.49068,0.41,0.35,862.0
USERS_TR_GETUSERPROFILE - 65,1,1129,1129,1129,0.00,0.000%,.88496,0.75,0.44,866.0
USERS_TR_GETUSERPROFILE - 96,1,1004,1004,1004,0.00,0.000%,.99502,0.84,0.49,866.0
USERS_TR_DELETEUSER - 5,1,1086,1086,1086,0.00,0.000%,.91743,0.59,0.58,659.0
USERS_TR_LOGINUSER - 39,1,1082,1082,1082,0.00,0.000%,.91659,1.13,0.41,1263.0
USERS_TR_LOGINUSER - 56,1,1074,1074,1074,0.00,0.000%,.92593,1.14,0.41,1262.0
USERS_TR_GETUSERPROFILE - 93,1,1214,1214,1214,0.00,0.000%,.82372,0.70,0.41,866.0
USERS_TR_UPDATEUSER - 71,1,1973,1973,1973,0.00,0.000%,.50684,0.43,0.37,863.0
USERS_TR_GETUSERPROFILE - 97,1,1085,1085,1085,0.00,0.000%,.92166,0.78,0.45,866.0
USERS_TR_UPDATEUSER - 41,1,2113,2113,2113,0.00,0.000%,.47326,0.40,0.34,863.0
USERS_TR_GETUSERPROFILE - 80,1,1082,1082,1082,0.00,0.000%,.92421,0.78,0.46,866.0
USERS_TR_GETUSERPROFILE - 90,1,1079,1079,1079,0.00,0.000%,.92678,0.78,0.46,866.0
USERS_TR_GETUSERPROFILE - 82,1,1084,1084,1084,0.00,0.000%,.92166,0.78,0.45,866.0
USERS_TR_GETUSERPROFILE - 85,1,1210,1210,1210,0.00,0.000%,.82576,0.70,0.41,864.0
USERS_TR_GETUSERPROFILE - 75,1,1210,1210,1210,0.00,0.000%,.82576,0.70,0.41,865.0
USERS_TR_LOGINUSER - 26,1,1225,1225,1225,0.00,100.000%,.81433,0.53,0.36,669.0
USERS_TR_LOGINUSER - 23,1,1079,1079,1079,0.00,0.000%,.92336,1.14,0.41,1262.0
USERS_TR_LOGINUSER - 31,1,1093,1093,1093,0.00,0.000%,.90662,1.12,0.40,1262.0
USERS_TR_UPDATEUSER - 86,1,942,942,942,0.00,0.000%,1.05932,0.90,0.77,867.0
USERS_TR_LOGOUTUSER - 38,1,722,722,722,0.00,100.000%,.96525,0.75,0.56,791.0
USERS_TR_LOGINUSER - 57,1,1204,1204,1204,0.00,100.000%,.82919,0.54,0.37,669.0
USERS_TR_LOGOUTUSER - 3,1,1030,1030,1030,0.00,0.000%,.74794,0.48,0.43,659.0
USERS_TR_LOGINUSER - 43,1,1203,1203,1203,0.00,0.000%,.82850,1.02,0.37,1263.0
USERS_TR_LOGINUSER - 32,1,1202,1202,1202,0.00,0.000%,.82508,1.02,0.37,1262.0
USERS_TR_LOGINUSER - 42,1,886,886,886,0.00,0.000%,1.11982,1.38,0.50,1263.0
USERS_TR_LOGOUTUSER - 12,1,304,304,304,0.00,100.000%,1.62866,1.25,0.71,787.0
USERS_TR_LOGOUTUSER - 17,1,294,294,294,0.00,100.000%,1.66667,1.28,0.72,787.0
USERS_TR_LOGOUTUSER - 40,1,309,309,309,0.00,100.000%,1.62338,1.25,0.70,787.0
USERS_TR_LOGOUTUSER - 9,1,309,309,309,0.00,100.000%,1.60772,1.24,0.70,787.0
USERS_TR_LOGOUTUSER - 18,1,309,309,309,0.00,100.000%,1.60256,1.23,0.69,787.0
USERS_TR_LOGOUTUSER - 19,1,294,294,294,0.00,100.000%,1.66389,1.28,0.72,787.0
USERS_TR_LOGOUTUSER - 20,1,295,295,295,0.00,100.000%,1.66389,1.28,0.72,787.0
USERS_TR_LOGOUTUSER - 26,1,281,281,281,0.00,100.000%,1.71527,1.32,0.74,787.0
USERS_TR_LOGOUTUSER - 57,1,301,301,301,0.00,100.000%,1.65289,1.27,0.72,787.0
USERS_TR_LOGOUTUSER - 22,1,1466,1466,1466,0.00,0.000%,.56465,0.36,0.33,659.0
USERS_TR_LOGINUSER - 48,1,1630,1630,1630,0.00,0.000%,.61087,0.75,0.27,1263.0
USERS_TR_UPDATEUSER - 74,1,1691,1691,1691,0.00,0.000%,.59137,0.50,0.43,866.0
USERS_TR_LOGINUSER - 27,1,1777,1777,1777,0.00,100.000%,.56211,0.37,0.25,669.0
USERS_TR_UPDATEUSER - 62,1,1496,1496,1496,0.00,0.000%,.66845,0.57,0.48,866.0
USERS_TR_LOGINUSER - 46,1,1631,1631,1631,0.00,0.000%,.61087,0.75,0.27,1264.0
USERS_TR_LOGOUTUSER - 8,1,1466,1466,1466,0.00,100.000%,.56465,0.37,0.33,678.0
USERS_TR_UPDATEUSER - 73,1,1496,1496,1496,0.00,0.000%,.66845,0.57,0.48,866.0
USERS_TR_UPDATEUSER - 66,1,1496,1496,1496,0.00,0.000%,.66845,0.57,0.48,867.0
USERS_TR_LOGINUSER - 53,1,1630,1630,1630,0.00,100.000%,.61125,0.40,0.27,669.0
USERS_TR_UPDATEUSER - 72,1,1636,1636,1636,0.00,0.000%,.61087,0.52,0.44,866.0
USERS_TR_UPDATEUSER - 63,1,1788,1788,1788,0.00,0.000%,.55897,0.47,0.40,866.0
USERS_TR_UPDATEUSER - 84,1,1495,1495,1495,0.00,0.000%,.66845,0.57,0.48,867.0
USERS_TR_LOGINUSER - 50,1,1949,1949,1949,0.00,0.000%,.51125,0.63,0.23,1262.0
USERS_TR_LOGOUTUSER - 28,1,1325,1325,1325,0.00,0.000%,.61050,0.39,0.35,659.0
USERS_TR_UPDATEUSER - 88,1,1493,1493,1493,0.00,0.000%,.66934,0.57,0.48,866.0
USERS_TR_GETUSERPROFILE - 92,1,1224,1224,1224,0.00,0.000%,.81633,0.69,0.40,862.0
USERS_TR_DELETEUSER - 13,1,1389,1389,1389,0.00,0.000%,.71942,0.46,0.45,655.0
USERS_TR_LOGINUSER - 52,1,1373,1373,1373,0.00,0.000%,.71994,0.89,0.32,1260.0
USERS_TR_UPDATEUSER - 89,1,1487,1487,1487,0.00,0.000%,.67159,0.57,0.49,862.0
USERS_TR_LOGINUSER - 47,1,1472,1472,1472,0.00,0.000%,.67204,0.83,0.30,1259.0
USERS_TR_LOGINUSER - 30,1,1469,1469,1469,0.00,0.000%,.67476,0.83,0.30,1259.0
USERS_TR_LOGINUSER - 55,1,1477,1477,1477,0.00,0.000%,.67204,0.83,0.30,1259.0
USERS_TR_UPDATEUSER - 77,1,1481,1481,1481,0.00,0.000%,.67476,0.57,0.49,863.0
USERS_TR_UPDATEUSER - 95,1,1481,1481,1481,0.00,0.000%,.67476,0.57,0.49,863.0
USERS_TR_DELETEUSER - 6,1,1489,1489,1489,0.00,0.000%,.67159,0.43,0.42,655.0
USERS_TR_UPDATEUSER - 99,1,1466,1466,1466,0.00,0.000%,.68213,0.57,0.49,863.0
USERS_TR_UPDATEUSER - 81,1,1488,1488,1488,0.00,0.000%,.67204,0.57,0.49,862.0
USERS_TR_LOGINUSER - 61,1,1480,1480,1480,0.00,0.000%,.67159,0.83,0.30,1260.0
USERS_TR_UPDATEUSER - 91,1,1487,1487,1487,0.00,0.000%,.67204,0.57,0.49,863.0
USERS_TR_LOGOUTUSER - 37,1,1174,1174,1174,0.00,100.000%,.67522,0.52,0.39,787.0
USERS_TR_DELETEUSER - 1,1,1471,1471,1471,0.00,0.000%,.67981,0.43,0.43,655.0
USERS_TR_LOGOUTUSER - 27,1,273,273,273,0.00,100.000%,1.69779,1.30,0.74,787.0
USERS_TR_LOGOUTUSER - 53,1,299,299,299,0.00,100.000%,1.62866,1.25,0.71,787.0
USERS_TR_LOGOUTUSER - 14,1,1619,1619,1619,0.00,0.000%,.51840,0.33,0.30,655.0
USERS_TR_LOGOUTUSER - 16,1,1619,1619,1619,0.00,0.000%,.51760,0.33,0.30,655.0
USERS_TR_DELETEUSER - 38,1,1649,1649,1649,0.00,0.000%,.60643,0.39,0.38,655.0
USERS_TR_LOGOUTUSER - 29,1,1625,1625,1625,0.00,0.000%,.51573,0.33,0.30,655.0
USERS_TR_UPDATEUSER - 98,1,1935,1935,1935,0.00,0.000%,.51680,0.44,0.37,862.0
USERS_TR_UPDATEUSER - 83,1,1934,1934,1934,0.00,0.000%,.51706,0.44,0.37,863.0
USERS_TR_DELETEUSER - 3,1,1653,1653,1653,0.00,0.000%,.60459,0.39,0.38,655.0
USERS_TR_LOGINUSER - 58,1,1861,1861,1861,0.00,0.000%,.53619,0.66,0.24,1258.0
USERS_TR_UPDATEUSER - 76,1,1937,1937,1937,0.00,0.000%,.51626,0.44,0.37,863.0
USERS_TR_LOGOUTUSER - 35,1,1641,1641,1641,0.00,0.000%,.51335,0.33,0.30,655.0
USERS_TR_LOGINUSER - 44,1,1935,1935,1935,0.00,100.000%,.51335,0.33,0.23,665.0
USERS_TR_LOGINUSER - 45,1,1934,1934,1934,0.00,100.000%,.51335,0.33,0.23,665.0
USERS_TR_LOGINUSER - 49,1,1870,1870,1870,0.00,0.000%,.53390,0.66,0.24,1259.0
USERS_TR_LOGINUSER - 54,1,1937,1937,1937,0.00,0.000%,.51203,0.63,0.23,1258.0
USERS_TR_LOGINUSER - 36,1,1935,1935,1935,0.00,100.000%,.51177,0.33,0.23,665.0
USERS_TR_UPDATEUSER - 79,1,1943,1943,1943,0.00,0.000%,.51440,0.43,0.37,863.0
USERS_TR_UPDATEUSER - 67,1,1948,1948,1948,0.00,0.000%,.51335,0.43,0.37,863.0
USERS_TR_LOGINUSER - 60,1,1943,1943,1943,0.00,100.000%,.51099,0.33,0.23,665.0
USERS_TR_LOGINUSER - 69,1,1936,1936,1936,0.00,0.000%,.51046,0.63,0.23,1258.0
USERS_TR_LOGINUSER - 21,1,1938,1938,1938,0.00,0.000%,.51230,0.63,0.23,1258.0
USERS_TR_UPDATEUSER - 87,1,1946,1946,1946,0.00,0.000%,.51387,0.43,0.37,862.0
USERS_TR_LOGOUTUSER - 34,1,1664,1664,1664,0.00,100.000%,.50582,0.33,0.29,674.0
USERS_TR_LOGOUTUSER - 10,1,1664,1664,1664,0.00,100.000%,.50582,0.33,0.29,674.0
USERS_TR_UPDATEUSER - 65,1,1895,1895,1895,0.00,0.000%,.52770,0.44,0.38,863.0
USERS_TR_LOGOUTUSER - 24,1,1664,1664,1664,0.00,100.000%,.50582,0.33,0.29,674.0
USERS_TR_UPDATEUSER - 68,1,1970,1970,1970,0.00,0.000%,.50761,0.43,0.37,862.0
USERS_TR_UPDATEUSER - 90,1,1812,1812,1812,0.00,0.000%,.55157,0.46,0.40,863.0
USERS_TR_LOGOUTUSER - 25,1,1649,1649,1649,0.00,100.000%,.51177,0.34,0.30,674.0
USERS_TR_UPDATEUSER - 64,1,1897,1897,1897,0.00,0.000%,.52715,0.44,0.38,863.0
USERS_TR_UPDATEUSER - 59,1,1969,1969,1969,0.00,0.000%,.50736,0.43,0.37,863.0
USERS_TR_UPDATEUSER - 100,1,1954,1954,1954,0.00,0.000%,.51177,0.43,0.37,861.0
USERS_TR_UPDATEUSER - 80,1,1815,1815,1815,0.00,0.000%,.55096,0.46,0.40,863.0
USERS_TR_UPDATEUSER - 78,1,1972,1972,1972,0.00,0.000%,.50710,0.43,0.37,863.0
USERS_TR_LOGOUTUSER - 33,1,1669,1669,1669,0.00,0.000%,.50633,0.32,0.29,655.0
USERS_TR_LOGOUTUSER - 32,1,1389,1389,1389,0.00,100.000%,.59067,0.39,0.34,674.0
USERS_TR_LOGOUTUSER - 56,1,1516,1516,1516,0.00,100.000%,.54915,0.36,0.32,674.0
USERS_TR_LOGOUTUSER - 39,1,1516,1516,1516,0.00,100.000%,.54915,0.36,0.32,674.0
USERS_TR_LOGOUTUSER - 11,1,1672,1672,1672,0.00,100.000%,.50352,0.33,0.29,674.0
USERS_TR_LOGOUTUSER - 23,1,1519,1519,1519,0.00,100.000%,.54915,0.36,0.32,674.0
USERS_TR_LOGOUTUSER - 15,1,1660,1660,1660,0.00,0.000%,.50839,0.33,0.29,655.0
USERS_TR_LOGOUTUSER - 43,1,1395,1395,1395,0.00,100.000%,.58858,0.39,0.34,674.0
